quote,topic_main,topic_additional,interview_location,migration_type,age_group,birth_location,gender,additional_info
"This is a quote on the topic 'Social' with tags [Integration] from a male permanent migrant age group 30-55, from Turkey. Interview done in Germany.",Social,Integration,Germany,permanent,30-55,Turkey,male,"This is an additional context info to the quote on topic 'Social' with tags [Integration] from a male permanent migrant age group 30-55, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Income] from a male seasonal migrant age group 18-25, from Turkey. Interview done in Germany.",Economic,Income,Germany,seasonal,18-25,Turkey,male,"This is an additional context info to the quote on topic 'Economic' with tags [Income] from a male seasonal migrant age group 18-25, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Job security] from a female seasonal migrant age group 55-70, from Austria. Interview done in Austria.",Economic,Job security,Austria,seasonal,55-70,Austria,female,"This is an additional context info to the quote on topic 'Economic' with tags [Job security] from a female seasonal migrant age group 55-70, from Austria. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Nature] from a male seasonal migrant age group 18-25, from Austria. Interview done in Austria.",Living environment,Nature,Austria,seasonal,18-25,Austria,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature] from a male seasonal migrant age group 18-25, from Austria. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Education] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Italy.",Social,Education,Italy,seasonal,18-25,Turkey,female,"This is an additional context info to the quote on topic 'Social' with tags [Education] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Integration, Discrimination] from a female permanent migrant age group 55-70, from Austria. Interview done in Austria.",Social,"Integration, Discrimination",Austria,permanent,55-70,Austria,female,"This is an additional context info to the quote on topic 'Social' with tags [Integration, Discrimination] from a female permanent migrant age group 55-70, from Austria. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Housing] from a male seasonal migrant age group 18-25, from Austria. Interview done in Germany.",Living environment,Housing,Germany,seasonal,18-25,Austria,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing] from a male seasonal migrant age group 18-25, from Austria. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Transport, Nature] from a male permanent migrant age group 30-55, from Poland. Interview done in Italy.",Living environment,"Transport, Nature",Italy,permanent,30-55,Poland,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Transport, Nature] from a male permanent migrant age group 30-55, from Poland. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Work, Job security] from a male seasonal migrant age group 18-25, from Turkey. Interview done in Austria.",Economic,"Work, Job security",Austria,seasonal,18-25,Turkey,male,"This is an additional context info to the quote on topic 'Economic' with tags [Work, Job security] from a male seasonal migrant age group 18-25, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Language, Integration] from a female seasonal migrant age group 55-70, from Austria. Interview done in Italy.",Social,"Language, Integration",Italy,seasonal,55-70,Austria,female,"This is an additional context info to the quote on topic 'Social' with tags [Language, Integration] from a female seasonal migrant age group 55-70, from Austria. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Education, Language] from a male seasonal migrant age group 55-70, from Turkey. Interview done in Germany.",Social,"Education, Language",Germany,seasonal,55-70,Turkey,male,"This is an additional context info to the quote on topic 'Social' with tags [Education, Language] from a male seasonal migrant age group 55-70, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Education] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Germany.",Social,Education,Germany,seasonal,18-25,Turkey,female,"This is an additional context info to the quote on topic 'Social' with tags [Education] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Job security, Income] from a male seasonal migrant age group 18-25, from Austria. Interview done in Austria.",Economic,"Job security, Income",Austria,seasonal,18-25,Austria,male,"This is an additional context info to the quote on topic 'Economic' with tags [Job security, Income] from a male seasonal migrant age group 18-25, from Austria. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Deskilling, Income] from a female seasonal migrant age group 55-70, from Austria. Interview done in Germany.",Economic,"Deskilling, Income",Germany,seasonal,55-70,Austria,female,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling, Income] from a female seasonal migrant age group 55-70, from Austria. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Income] from a female permanent migrant age group 55-70, from Turkey. Interview done in Germany.",Economic,Income,Germany,permanent,55-70,Turkey,female,"This is an additional context info to the quote on topic 'Economic' with tags [Income] from a female permanent migrant age group 55-70, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Job security, Deskilling] from a female seasonal migrant age group 30-55, from Turkey. Interview done in Italy.",Economic,"Job security, Deskilling",Italy,seasonal,30-55,Turkey,female,"This is an additional context info to the quote on topic 'Economic' with tags [Job security, Deskilling] from a female seasonal migrant age group 30-55, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Discrimination, Education] from a female seasonal migrant age group 18-25, from Austria. Interview done in Italy.",Social,"Discrimination, Education",Italy,seasonal,18-25,Austria,female,"This is an additional context info to the quote on topic 'Social' with tags [Discrimination, Education] from a female seasonal migrant age group 18-25, from Austria. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Discrimination] from a male seasonal migrant age group 55-70, from Austria. Interview done in Germany.",Social,Discrimination,Germany,seasonal,55-70,Austria,male,"This is an additional context info to the quote on topic 'Social' with tags [Discrimination] from a male seasonal migrant age group 55-70, from Austria. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Integration] from a male seasonal migrant age group 30-55, from Poland. Interview done in Austria.",Social,Integration,Austria,seasonal,30-55,Poland,male,"This is an additional context info to the quote on topic 'Social' with tags [Integration] from a male seasonal migrant age group 30-55, from Poland. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Discrimination, Integration] from a male seasonal migrant age group 30-55, from Poland. Interview done in Italy.",Social,"Discrimination, Integration",Italy,seasonal,30-55,Poland,male,"This is an additional context info to the quote on topic 'Social' with tags [Discrimination, Integration] from a male seasonal migrant age group 30-55, from Poland. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Housing, Nature] from a male permanent migrant age group 55-70, from Austria. Interview done in Italy.",Living environment,"Housing, Nature",Italy,permanent,55-70,Austria,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing, Nature] from a male permanent migrant age group 55-70, from Austria. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Pollution] from a male permanent migrant age group 18-25, from Turkey. Interview done in Austria.",Living environment,Pollution,Austria,permanent,18-25,Turkey,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution] from a male permanent migrant age group 18-25, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Pollution] from a female permanent migrant age group 55-70, from Turkey. Interview done in Italy.",Living environment,Pollution,Italy,permanent,55-70,Turkey,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution] from a female permanent migrant age group 55-70, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Education, Integration] from a female seasonal migrant age group 30-55, from Austria. Interview done in Germany.",Social,"Education, Integration",Germany,seasonal,30-55,Austria,female,"This is an additional context info to the quote on topic 'Social' with tags [Education, Integration] from a female seasonal migrant age group 30-55, from Austria. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Nature, Pollution] from a male permanent migrant age group 30-55, from Turkey. Interview done in Germany.",Living environment,"Nature, Pollution",Germany,permanent,30-55,Turkey,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature, Pollution] from a male permanent migrant age group 30-55, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Deskilling, Work] from a male permanent migrant age group 18-25, from Turkey. Interview done in Italy.",Economic,"Deskilling, Work",Italy,permanent,18-25,Turkey,male,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling, Work] from a male permanent migrant age group 18-25, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Transport] from a male permanent migrant age group 18-25, from Turkey. Interview done in Germany.",Living environment,Transport,Germany,permanent,18-25,Turkey,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Transport] from a male permanent migrant age group 18-25, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Job security, Deskilling] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Austria.",Economic,"Job security, Deskilling",Austria,seasonal,30-55,Turkey,male,"This is an additional context info to the quote on topic 'Economic' with tags [Job security, Deskilling] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Pollution] from a female permanent migrant age group 18-25, from Austria. Interview done in Austria.",Living environment,Pollution,Austria,permanent,18-25,Austria,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution] from a female permanent migrant age group 18-25, from Austria. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Job security] from a female permanent migrant age group 55-70, from Poland. Interview done in Austria.",Economic,Job security,Austria,permanent,55-70,Poland,female,"This is an additional context info to the quote on topic 'Economic' with tags [Job security] from a female permanent migrant age group 55-70, from Poland. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Work] from a female permanent migrant age group 30-55, from Austria. Interview done in Germany.",Economic,Work,Germany,permanent,30-55,Austria,female,"This is an additional context info to the quote on topic 'Economic' with tags [Work] from a female permanent migrant age group 30-55, from Austria. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Job security] from a female seasonal migrant age group 18-25, from Poland. Interview done in Austria.",Economic,Job security,Austria,seasonal,18-25,Poland,female,"This is an additional context info to the quote on topic 'Economic' with tags [Job security] from a female seasonal migrant age group 18-25, from Poland. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Income] from a male permanent migrant age group 18-25, from Turkey. Interview done in Germany.",Economic,Income,Germany,permanent,18-25,Turkey,male,"This is an additional context info to the quote on topic 'Economic' with tags [Income] from a male permanent migrant age group 18-25, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Language] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Italy.",Social,Language,Italy,seasonal,30-55,Turkey,male,"This is an additional context info to the quote on topic 'Social' with tags [Language] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Housing, Pollution] from a female permanent migrant age group 30-55, from Poland. Interview done in Germany.",Living environment,"Housing, Pollution",Germany,permanent,30-55,Poland,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing, Pollution] from a female permanent migrant age group 30-55, from Poland. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Housing] from a male seasonal migrant age group 55-70, from Turkey. Interview done in Austria.",Living environment,Housing,Austria,seasonal,55-70,Turkey,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing] from a male seasonal migrant age group 55-70, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Language] from a female permanent migrant age group 55-70, from Poland. Interview done in Germany.",Social,Language,Germany,permanent,55-70,Poland,female,"This is an additional context info to the quote on topic 'Social' with tags [Language] from a female permanent migrant age group 55-70, from Poland. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Language, Integration] from a male permanent migrant age group 18-25, from Austria. Interview done in Italy.",Social,"Language, Integration",Italy,permanent,18-25,Austria,male,"This is an additional context info to the quote on topic 'Social' with tags [Language, Integration] from a male permanent migrant age group 18-25, from Austria. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Integration] from a male seasonal migrant age group 55-70, from Poland. Interview done in Austria.",Social,Integration,Austria,seasonal,55-70,Poland,male,"This is an additional context info to the quote on topic 'Social' with tags [Integration] from a male seasonal migrant age group 55-70, from Poland. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Language] from a female seasonal migrant age group 30-55, from Poland. Interview done in Italy.",Social,Language,Italy,seasonal,30-55,Poland,female,"This is an additional context info to the quote on topic 'Social' with tags [Language] from a female seasonal migrant age group 30-55, from Poland. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Work, Job security] from a male permanent migrant age group 55-70, from Austria. Interview done in Italy.",Economic,"Work, Job security",Italy,permanent,55-70,Austria,male,"This is an additional context info to the quote on topic 'Economic' with tags [Work, Job security] from a male permanent migrant age group 55-70, from Austria. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Work] from a male seasonal migrant age group 30-55, from Austria. Interview done in Germany.",Economic,Work,Germany,seasonal,30-55,Austria,male,"This is an additional context info to the quote on topic 'Economic' with tags [Work] from a male seasonal migrant age group 30-55, from Austria. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Education, Language] from a female seasonal migrant age group 30-55, from Turkey. Interview done in Austria.",Social,"Education, Language",Austria,seasonal,30-55,Turkey,female,"This is an additional context info to the quote on topic 'Social' with tags [Education, Language] from a female seasonal migrant age group 30-55, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Housing] from a male permanent migrant age group 30-55, from Poland. Interview done in Germany.",Living environment,Housing,Germany,permanent,30-55,Poland,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing] from a male permanent migrant age group 30-55, from Poland. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Integration] from a female permanent migrant age group 30-55, from Poland. Interview done in Germany.",Social,Integration,Germany,permanent,30-55,Poland,female,"This is an additional context info to the quote on topic 'Social' with tags [Integration] from a female permanent migrant age group 30-55, from Poland. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Housing, Transport] from a female permanent migrant age group 30-55, from Turkey. Interview done in Austria.",Living environment,"Housing, Transport",Austria,permanent,30-55,Turkey,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing, Transport] from a female permanent migrant age group 30-55, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Discrimination] from a male permanent migrant age group 30-55, from Austria. Interview done in Austria.",Social,Discrimination,Austria,permanent,30-55,Austria,male,"This is an additional context info to the quote on topic 'Social' with tags [Discrimination] from a male permanent migrant age group 30-55, from Austria. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Work] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Germany.",Economic,Work,Germany,seasonal,18-25,Turkey,female,"This is an additional context info to the quote on topic 'Economic' with tags [Work] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Income] from a male seasonal migrant age group 18-25, from Austria. Interview done in Italy.",Economic,Income,Italy,seasonal,18-25,Austria,male,"This is an additional context info to the quote on topic 'Economic' with tags [Income] from a male seasonal migrant age group 18-25, from Austria. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Nature, Housing] from a male permanent migrant age group 18-25, from Austria. Interview done in Italy.",Living environment,"Nature, Housing",Italy,permanent,18-25,Austria,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature, Housing] from a male permanent migrant age group 18-25, from Austria. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Integration] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Italy.",Social,Integration,Italy,seasonal,30-55,Turkey,male,"This is an additional context info to the quote on topic 'Social' with tags [Integration] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Integration, Language] from a male permanent migrant age group 55-70, from Austria. Interview done in Italy.",Social,"Integration, Language",Italy,permanent,55-70,Austria,male,"This is an additional context info to the quote on topic 'Social' with tags [Integration, Language] from a male permanent migrant age group 55-70, from Austria. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Pollution] from a female seasonal migrant age group 18-25, from Poland. Interview done in Germany.",Living environment,Pollution,Germany,seasonal,18-25,Poland,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution] from a female seasonal migrant age group 18-25, from Poland. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Income] from a male permanent migrant age group 18-25, from Turkey. Interview done in Austria.",Economic,Income,Austria,permanent,18-25,Turkey,male,"This is an additional context info to the quote on topic 'Economic' with tags [Income] from a male permanent migrant age group 18-25, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Housing] from a female permanent migrant age group 55-70, from Austria. Interview done in Austria.",Living environment,Housing,Austria,permanent,55-70,Austria,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing] from a female permanent migrant age group 55-70, from Austria. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Transport] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Austria.",Living environment,Transport,Austria,seasonal,18-25,Turkey,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Transport] from a female seasonal migrant age group 18-25, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Living environment' with tags [Pollution] from a female permanent migrant age group 30-55, from Turkey. Interview done in Austria.",Living environment,Pollution,Austria,permanent,30-55,Turkey,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution] from a female permanent migrant age group 30-55, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Language, Discrimination] from a female permanent migrant age group 55-70, from Austria. Interview done in Italy.",Social,"Language, Discrimination",Italy,permanent,55-70,Austria,female,"This is an additional context info to the quote on topic 'Social' with tags [Language, Discrimination] from a female permanent migrant age group 55-70, from Austria. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Deskilling] from a male seasonal migrant age group 18-25, from Poland. Interview done in Italy.",Economic,Deskilling,Italy,seasonal,18-25,Poland,male,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling] from a male seasonal migrant age group 18-25, from Poland. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Nature] from a female permanent migrant age group 55-70, from Poland. Interview done in Germany.",Living environment,Nature,Germany,permanent,55-70,Poland,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature] from a female permanent migrant age group 55-70, from Poland. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Transport, Housing] from a male permanent migrant age group 18-25, from Austria. Interview done in Germany.",Living environment,"Transport, Housing",Germany,permanent,18-25,Austria,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Transport, Housing] from a male permanent migrant age group 18-25, from Austria. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Income, Work] from a male permanent migrant age group 55-70, from Poland. Interview done in Italy.",Economic,"Income, Work",Italy,permanent,55-70,Poland,male,"This is an additional context info to the quote on topic 'Economic' with tags [Income, Work] from a male permanent migrant age group 55-70, from Poland. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Nature, Housing] from a female permanent migrant age group 55-70, from Poland. Interview done in Italy.",Living environment,"Nature, Housing",Italy,permanent,55-70,Poland,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature, Housing] from a female permanent migrant age group 55-70, from Poland. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Housing] from a male seasonal migrant age group 30-55, from Poland. Interview done in Italy.",Living environment,Housing,Italy,seasonal,30-55,Poland,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing] from a male seasonal migrant age group 30-55, from Poland. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Transport] from a female permanent migrant age group 18-25, from Turkey. Interview done in Austria.",Living environment,Transport,Austria,permanent,18-25,Turkey,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Transport] from a female permanent migrant age group 18-25, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Integration, Discrimination] from a female seasonal migrant age group 18-25, from Poland. Interview done in Austria.",Social,"Integration, Discrimination",Austria,seasonal,18-25,Poland,female,"This is an additional context info to the quote on topic 'Social' with tags [Integration, Discrimination] from a female seasonal migrant age group 18-25, from Poland. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Deskilling, Income] from a female permanent migrant age group 30-55, from Poland. Interview done in Germany.",Economic,"Deskilling, Income",Germany,permanent,30-55,Poland,female,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling, Income] from a female permanent migrant age group 30-55, from Poland. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Job security] from a male permanent migrant age group 30-55, from Austria. Interview done in Italy.",Economic,Job security,Italy,permanent,30-55,Austria,male,"This is an additional context info to the quote on topic 'Economic' with tags [Job security] from a male permanent migrant age group 30-55, from Austria. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Nature, Housing] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Austria.",Living environment,"Nature, Housing",Austria,seasonal,30-55,Turkey,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature, Housing] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Income, Job security] from a male seasonal migrant age group 55-70, from Poland. Interview done in Austria.",Economic,"Income, Job security",Austria,seasonal,55-70,Poland,male,"This is an additional context info to the quote on topic 'Economic' with tags [Income, Job security] from a male seasonal migrant age group 55-70, from Poland. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Deskilling, Work] from a female seasonal migrant age group 30-55, from Austria. Interview done in Germany.",Economic,"Deskilling, Work",Germany,seasonal,30-55,Austria,female,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling, Work] from a female seasonal migrant age group 30-55, from Austria. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Pollution] from a female permanent migrant age group 18-25, from Austria. Interview done in Italy.",Living environment,Pollution,Italy,permanent,18-25,Austria,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution] from a female permanent migrant age group 18-25, from Austria. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Housing, Pollution] from a female permanent migrant age group 18-25, from Austria. Interview done in Germany.",Living environment,"Housing, Pollution",Germany,permanent,18-25,Austria,female,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing, Pollution] from a female permanent migrant age group 18-25, from Austria. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Housing] from a male permanent migrant age group 55-70, from Turkey. Interview done in Austria.",Living environment,Housing,Austria,permanent,55-70,Turkey,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Housing] from a male permanent migrant age group 55-70, from Turkey. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Language, Discrimination] from a male seasonal migrant age group 30-55, from Austria. Interview done in Italy.",Social,"Language, Discrimination",Italy,seasonal,30-55,Austria,male,"This is an additional context info to the quote on topic 'Social' with tags [Language, Discrimination] from a male seasonal migrant age group 30-55, from Austria. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Pollution, Housing] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Italy.",Living environment,"Pollution, Housing",Italy,seasonal,30-55,Turkey,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Pollution, Housing] from a male seasonal migrant age group 30-55, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Living environment' with tags [Nature] from a male seasonal migrant age group 18-25, from Poland. Interview done in Germany.",Living environment,Nature,Germany,seasonal,18-25,Poland,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature] from a male seasonal migrant age group 18-25, from Poland. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Education, Language] from a female permanent migrant age group 18-25, from Austria. Interview done in Austria.",Social,"Education, Language",Austria,permanent,18-25,Austria,female,"This is an additional context info to the quote on topic 'Social' with tags [Education, Language] from a female permanent migrant age group 18-25, from Austria. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Language] from a female permanent migrant age group 18-25, from Poland. Interview done in Austria.",Social,Language,Austria,permanent,18-25,Poland,female,"This is an additional context info to the quote on topic 'Social' with tags [Language] from a female permanent migrant age group 18-25, from Poland. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Deskilling, Job security] from a female seasonal migrant age group 18-25, from Poland. Interview done in Germany.",Economic,"Deskilling, Job security",Germany,seasonal,18-25,Poland,female,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling, Job security] from a female seasonal migrant age group 18-25, from Poland. Interview done in Germany."
"This is a quote on the topic 'Living environment' with tags [Nature] from a male seasonal migrant age group 55-70, from Austria. Interview done in Austria.",Living environment,Nature,Austria,seasonal,55-70,Austria,male,"This is an additional context info to the quote on topic 'Living environment' with tags [Nature] from a male seasonal migrant age group 55-70, from Austria. Interview done in Austria."
"This is a quote on the topic 'Economic' with tags [Deskilling] from a female permanent migrant age group 30-55, from Poland. Interview done in Italy.",Economic,Deskilling,Italy,permanent,30-55,Poland,female,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling] from a female permanent migrant age group 30-55, from Poland. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Work] from a female permanent migrant age group 55-70, from Turkey. Interview done in Italy.",Economic,Work,Italy,permanent,55-70,Turkey,female,"This is an additional context info to the quote on topic 'Economic' with tags [Work] from a female permanent migrant age group 55-70, from Turkey. Interview done in Italy."
