quote,topic_main,topic_additional,interview_location,migration_type,age_group,birth_location,gender
"Actually, it was a simple job, and the first time I was there, I also worked on the so-called picker, i.e., picking orders. And also on the scanner. Only there, the scanner looks a little different because it's operated differently. So here, they just had to teach me how to use the scanner. But it's not a job for any idiot, so to speak. You don't have to be smart or know anything, well, the language in general... The leader and so on, everyone spoke to you in English, but they said simple things that everyone could understand. And even if you didn't, the job was that you had a scanner, the location was displayed. And you drove up to a given location, scanned the location, you had these sticker cards. You scanned the code from the sticker, stuck it on, and drove on. Nothing complicated. You didn't even need to know the language, because it was all numbers.",Economic,Work/employment,Poland,return,18-29,Poland,Male
"From what they told me, for example, well that we are hard-working, we are hard-working. They say to me, why are you running around so much, sit down, I'll make you some tea or something. But no, because I don't have time, I have to hurry, the next one is already here, I have a thousand things to do. And they say, take it easy. Now is the time for a break, so we sit down and you can stay there for I don't know how long... One room to clean and they have a break. It's my break, they sit down and I don't finish it, they put it off until tomorrow. I say, come on, I'll get it done quickly and it'll be done. How can you do that? Well, they say there's no rush, that work isn't the most important thing. Now it's break time, now we're drinking coffee and...",Economic,Work/employment,Poland,return,40-49,Poland,Female
"So when it comes to Poles, it's mainly productivity. Productivity and attendance at work. The Dutch are very demanding. The Dutch don't want to work, there are many jobs they don't want to do, which is why we are still so respected and needed there, right?",Economic,Work/employment,Poland,return,40-49,Poland,Male
"Well, as in life, sometimes it's better, sometimes it's worse, sometimes it was better, sometimes it was worse. Now we have a four-day system, so I leave on Sunday evening at half past seven, seven, half past seven, we go to the apartment, sleep there, and then go to work in the morning, no. And it used to be that we would go for four or five days, or just five days, and we would leave at ten and arrive practically directly at work, not that we would be at the company at five and sleep in the car for an hour, and that's how it was, you have to experience it. Now we work 11 hours a day, minus a break, so that's 10.25, no, that comes out to 40 hours a week. We work those four days and the weekend.",Economic,Work/employment,Poland,permanent,40-49,Poland,Male
"The first time was stressful because I went alone, but the upside was that there were a lot of Poles in that job, and also a lot of people around my age, because they were just finishing high school and wanted to earn some extra money, so I don't have bad memories of it, and when I started my first job, everyone there was pretty helpful. Later, during your first week, they don't really pay attention to whether you work slowly or quickly, but in the second week you have to catch up with the pace.",Economic,Work/employment,Poland,seasonal,18-29,Poland,Female
"Because that's the kind of work it is, and it's so hot in there, and they don't really want to open the windows. I mean, that's how it was in my second and third years, that the owner didn't really want to open the windows in the greenhouse so that the tomatoes would grow faster, so it was hard work there.",Economic,Work/employment,Poland,seasonal,18-29,Poland,Female
"It was just so terribly mixed. There was a month when there was enough for everything, and there was a month when it was more like paycheck to paycheck. Because of that... I didn't say that. I worked in that sorting plant for two years on... How can I put it? I only had a half contract, but I was normally at work for eight hours, so it was stupid that I always had half my pay, and the other half of my pay, for example, if there was no work. So there was no money, because, for example, the boss said, don't come in because there's nothing for you to do, so you didn't get your full pay even though you worked.",Economic,Work/employment,Poland,return,18-29,Poland,Female
"I left, ended up in a factory, and worked in that newspaper factory in [name of a town in Germany]. And there, they just produced newspapers and leaflets on a conveyor belt. Later, I worked in a restaurant as a waitress, a kitchen assistant... it was a disaster. Then I ended up in a laundry and worked there for two years. And that's how I got by. Later, I ended up in a hotel, where I worked as a breakfast service manager, so I had more contact with people there. We prepared breakfasts, so it was a better job, and then I got pregnant.",Economic,Work/employment,Poland,return,18-29,Poland,Female
"They also set the pace, but it was like they did too. Because, generally speaking, the work there was probably borderline illegal, because as it turned out later, everyone there was earning below the minimum wage. We were getting about 100-odd crowns an hour. I don't remember exactly, probably around 115, something like that. And then we explored the subject, like, well, the contract, or rather the employment relationship, meant that we were not entitled to practically any social benefits, because it turned out that later the other couple we were with, so to speak, the girl got pregnant, and she had to wander around privately, visiting gynecologists and doctors. Later, they got everything sorted out properly so that they could be covered by Danish social security, but at first there was fear and uncertainty that they would be left on their own in the middle of nowhere, so to speak, far away from their families, but they managed to sort things out reasonably well. Well, these people were also imposing, you could say bossy. They couldn't stand opposition, and there was also fierce competition for the favor of the bosses, the management. And this fierce rivalry manifested itself in who was faster, who, who, who, who did more. Well, and just to get as many days as possible, as many hours as possible, having, so to speak, hourly work, they worked on a piecework basis, that is, simply whoever did more.",Economic,Work/employment,Poland,seasonal,18-29,Poland,Male
"And I was one of those people, because for the lowest rate, around 170 kroner, I simply cleaned a huge silo of rust and waste, and it was terrible work. And generally, I did it for a rate that a normal Norwegian probably wouldn't even look at, they would probably charge 50% more. And I suspect that it was the same in the fields in Denmark, that the work we did was undervalued by at least half in terms of its remuneration, and I suspect that on a larger scale this may cause some social resentment, but on the other hand, what comfortable Scandinavian resident would take on such things if someone else can do it?",Economic,Work/employment,Poland,seasonal,18-29,Poland,Male
"Due to the fact that for 14 hours I was practically in full view of guests wearing tie, where elegance, chic, and culture were preserved. I managed to transfer this to my restaurant. Various forms of behavior, so that someone is watching me all the time, yes. Even when I'm preparing a meal, the way I express myself. It's a very cool ethic and lesson. Above all, being hospitable and open has had a very positive impact on the place, which I was able to create thanks to this.",Economic,Work/employment,Poland,return,30-39,Poland,Male
"It was different. For example, there were team leaders who approached you and said that they could see you were doing a good job, so they praised you sincerely and were happy with you as an employee, but there were also those who didn't care what you did. You could have earned a raise or something for doing 3, but you didn't get a raise. It was a bit like that... And there were leaders who, let's say, often dumped the worst work on Poles, no.",Economic,Work/employment,Poland,return,18-29,Poland,Male
"It was in 2005. At that time, we were still in the Netherlands, staying on a Polish passport, working on the basis of a work permit, so having some education from Poland, some skills, we didn't have much choice when it came to the available jobs or professions that we could do in the Netherlands. My wife's cousin was already working in the Netherlands at the time, and he got us jobs in a tomato greenhouse. We got our work permits and went to work there. The work wasn't easy because it was very physically demanding for me.",Economic,Work/employment,Poland,return,40-49,Poland,Male
"Do I have time after work? Maybe the guys have more time. We've been working nights lately, because somehow it's always like that, I don't know how to explain it to you, I always stay longer. Always. It's always like that, I stay longer, because I'm the kind of person who just can't, maybe the Austrians taught me that, because I know a few of them. They don't leave things undone. If something needs to be discussed, we discuss it now. I know some Austrians, the ones from Tyrol, they arrived at seven and we stayed together at a hotel, and I saw that they came back from work at 10:30 p.m., right? So maybe they were workaholics. Fortunately, I don't do that, but I always stay there an hour longer somehow.",Economic,Work/employment,Poland,permanent,40-49,Poland,Male
"And later, once I had learned a little bit of the language, I learned the language, so I found a job myself, you could say. Because, well, I had a good reputation as a caregiver, and it was like, in Italy they call it passaparola, which means word of mouth, someone needed someone, “oh, I know a lady from Poland who works so well,” so on that basis, oh, and then, then I had a job that was, you could say, permanent, because it was already my job and I could stay as long as I wanted, right? For example, it wasn't like I stayed for three months and then went home, because it wasn't financially viable for me if I wanted to do something at home, for example.",Economic,Work/employment,Poland,return,50-59,Poland,Female
"I asked about them. I said, ""Tell me about your culture."" You can't do business if you don't know a person's culture. That way. For example, I went to a factory in my boots, in work clothes. The manager stood up and said, ""You don't speak Dutch, but you have learnt the culture well. The man there appreciated me.",Social,"Education, Integration, Language barriers, Work/employment, Motivations to migrate",The Netherlands,permanent,45-64,Turkey,Male
"Why do you pay taxes to the state? You pay for the hospital, insurance — maybe 200 or 300 euros. But when you have an operation in a hospital, it costs 30 or 40 thousand euros. So you pay 200–300 euros, which is not much at all — it’s such a small amount. And then look at how nice the roads are built. There are lights at night. There are buses, bus stops. All of this happens with your money and my money. When you think about it like that, it’s true. Then there’s care for the elderly — they get wheelchairs, lifts are installed in people’s homes. Where does that money come from? From the people’s money. And that’s a good thing. That’s why you should pay it. One day you’ll die, I’ll die — in the end we all go to the same place. The money we put in — a hundred, two hundred euros — is really nothing. That’s how I see it.","Economic, Living environment","Income, Integration, Work/employment, Health, Motivations to migrate, Belonging",The Netherlands,permanent,45-64,Turkey,Male
"I come from a community of Turks, Moroccans, Gypsies, Surinamese, Antilleans. We all lived among ourselves. Was never a problem. And in those days there was a kind of social pressure. There was social pressure of hey, using drugs is not good, don’t smoke. There was a lot of pressure among ourselves. And everyone was paying attention. I come from a working-class neighbourhood where everyone knew each other and there was that pressure. It was not easy to do wrong things. That all changed later. But there was a certain pressure. Here, you don’t have that pressure.","Social, Living environment","Education, Integration, Health, Motivations to migrate, Belonging",The Netherlands,permanent,18-34,Turkey,Male
"Here, I see a lot of young people with alcohol problems and drug problems. And when you say why does that happen? There is not an outlet for young people here. So young people are looking for adventure and excitement. And they can’t find that so they go for booze and drugs. I think there is more drug use here than in the suburbs.","Social, Living environment","Housing, Integration, Health, Motivations to migrate, Belonging",The Netherlands,permanent,18-34,Turkey,Male
"It's also very weird, isn't it? For example, when I'm on holiday, I still look for the Dutch people there. So the Turkish Dutch or the German Turks. I no longer feel associated with the Turks who are there, it’s a different mindset.",Social,"Integration, Motivations to migrate, Belonging",The Netherlands,permanent,18-34,Turkey,Male
"We are one of the oldest supermarkets here with a Turkish background. Many people know us and feel a connection with us. You shouldn't look at it only from an economic perspective. For us, it's also something social. For example, I know about people's private situations. Some people who are sick come and tell us. People who have a child come and tell us. People who are getting married invite us. We don’t see our customers as just customer numbers. It's more social. Everyone interacts with each other.","Social, Living environment","Income, Integration, Work/employment, Health, Motivations to migrate, Belonging",The Netherlands,permanent,18-34,Turkey,Male
"If you want to move forward economically here, I think people should be given more opportunities to start their own business. For example, here you don't have stores like Zara or other nice shops. There’s nothing that attracts people here. This area is basically a region near Germany. But nearby you don't have anything big. So here they could actually make the local economy stronger with big companies. The municipality should support, that a bit by attracting businesses, give some subsidies. Then I think this could become a really beautiful place, a really nice city.","Economic, Living environment","Income, Work/employment, Legal barriers, Motivations to migrate, Belonging",The Netherlands,permanent,18-34,Turkey,Male
"Help these people [asylum seekers]. Don’t help them just financially but help them to become financially independent. Don’t just offer them benefits, but offer them work. For example, there are organisations here that work with the local authorities where people have to retrain or work on certain skills. Look, for example, they send newcomers to school by obligation. With all due respect — I think they should really be taught Dutch, because you’re going to live in this country. But don’t just give them the chance to learn Dutch. Let them also learn practical skills at the same time, like woodworking, for example. Teach them things that are needed here. For example, in this country a plumber earns more than a doctor. How many young people want to become plumbers, have the potential for it, but don’t have the opportunity?",Economic,"Education, Income, Integration, Language barriers, Work/employment, Legal barriers, Motivations to migrate, Belonging",The Netherlands,permanent,18-34,Turkey,Male
"2025 this year, I was returning to Turkey for good. I said I would retire at this age. Because as I mentioned, I don't like the world system. One establishes one's own state, one establishes one's own retirement, one establishes one's own wishes. I invested a lot in my original region. I bought three houses. I'm counting down. In a very short time since 2015, it went very bad for a while. After it started to go well for a short time, I started to make these investments because I want to return for good. I haven't bought a house here, I haven't made a single investment here because I will go back.",Economic,"Housing, Income, Integration, Motivations to migrate, Belonging, Future migration plans",The Netherlands,permanent,35-44,Turkey,Male
"I am standing here in the same way as before. I talk to my mum — my mum is in Turkey. I am here, I speak Turkish. Naturally, right? Someone passing by said to me, “Spreek maar Nederlands, hier is Nederland.” I was stunned. I asked, “What are you saying?” He said, “This is Holland. Speak Dutch.” And then I said to him, “You’re stupid. You’re a racist. How can I speak Dutch with someone from Turkey? If I’m a foreigner, I’m speaking Turkish with a foreigner — a Turkish person.” I mean, would you look at this mentality? The brain. They don’t even know how to do racism properly, they don’t know how to do it. I said, “Wait here, I’ll call the police. You’re a racist.” I trapped him there. He ran away in his car. He didn’t come for a while. Now he comes shopping again from time to time. I mean, we experience things like this too. It makes you feel offended.","Social, Living environment","Discrimination, Integration, Language barriers, Motivations to migrate, Belonging",The Netherlands,permanent,35-44,Turkey,Male
"We came from a poor family. I mean, this is the basis of Turkey in general. We had a poor life. We had the experiences of a poor life. The things we went through somehow made us, and by we I mean myself, choose a direction. We made the right decisions and wrong decisions. I have been working alone since I was 8 years old. I am a person who started working when I did not know the way to the shop, the place where I work, when I did not know how to get there and back.","Economic, Living environment","Education, Income, Work/employment, Motivations to migrate",The Netherlands,permanent,35-44,Turkey,Male
"I try to promote Turkey as much as I can. When Dutch people want to visit touristic areas in Turkey, I recommend places and I send greetings to Turkish people at those places so that they can interact with each other. You know, the Dutch love such things. For example, “We are coming from Holland, [Name] sent his greetings,” they like this very much. I know this, so I do something like this. I introduce them to people there. Food, for example. I bring food from Turkey, if necessary. I let them taste them here.","Social, Economic, Living environment","Integration, Motivations to migrate, Belonging",The Netherlands,permanent,35-44,Turkey,Male
"At that time, in the eighties and nineties, there were already Turks and Moroccans. as foreigners. Moroccans. Apart from that, there were not many. But after 2000, with the outbreak of this war, Afghans multiplied. Somalis multiplied, there were people from Syria. So it has become quite multicultural now. So foreigners have multiplied. Of course, when we walk on the street, we sometimes wonder if we are refugees too. It has multiplied so much.","Social, Living environment","Integration, Belonging",The Netherlands,permanent,45-64,The Netherlands,Male
"After going through a lot of trouble together with my single-mother, I felt a little more comfortable there. But life has its ups and downs. When I came here, to be honest, I had a lot of debts. But that’s since I couldn't work much, my mother-in-law and father-in-law didn't have a pension in Turkey. So, we were always running. What are you going to do? Life is a test. My daughter is studying at university, she still has one year to go. I provide for her. Thank God, my troubles are gone since I came here.","Economic, Living environment","Education, Income, Work/employment, Health, Belonging",The Netherlands,temporary,45-64,Bulgaria,Female
There were people from my own relatives in Holland. They said it was very good. I had never travelled abroad before. I came with their advice but I was satisfied.,Social,"Discrimination, Integration, Motivations to migrate, Belonging",The Netherlands,temporary,45-64,Bulgaria,Female
"You can get everything here. But I don't know about those who live here permanently. But now we only pay rent. We also have health insurance deducted from us. The company makes us pay them. Both rent and health insurance. That's why it's clear to us that you can get as much as you can, I mean, you have more opportunity to get it here.","Economic, Living environment","Housing, Work/employment, Health, Belonging",The Netherlands,temporary,45-64,Bulgaria,Female
"I mean, even though I am wearing a headscarf here, most people say hello. I'll even tell you something. One day when I was in another city, I was going to Lidl. On the way to Lidl, one person passes by and says hello, two pass by and say hello. I was surprised. I greeted them back. When I came home, I said, ""Son, it's like this.” He said “Mum, it’s like that here. Say hello back to them.” I said, ""I already did, son."" Honestly, I didn't expect such a thing and I didn't know. In Turkey, they don't even say hello.","Social, Living environment","Discrimination, Integration, Belonging",The Netherlands,temporary,45-64,Bulgaria,Female
"But since there is no definite return, because we only go there for a month or 6 weeks, we are attracted to this place because our home is here. We got used to our surroundings, neighbours, our life. I am not really uncomfortable, I love my country, Turkey. Both the Netherlands and Turkey. For example, if I lived in Turkey for 25 years, it has been 30 years in the Netherlands. It's more. But I also have memories of my childhood in Turkey. But in the end, I want to come back to the Netherlands.",Social,"Integration, Belonging, Future migration plans",The Netherlands,permanent,45-64,Turkey,Female
"We still embrace each other here, no matter where we are from. We are always together. The mosque is a different thing. We have day groups. We go on outings like... Was it last July? Last summer 50 of us travelled to The Hague with train tickets. All of us. Imagine that. We'd go on mass trips like that. We'll go to Germany once or twice, to the bazaar and so forth. It's nice. We're used to it. As they say, we're Germans [Alamancı] in Turkey. German [Alamancı] there, foreigner here. It really is, but you can't be from there either. Here, even if you say you're from here, there are still people who don't accept it. But I'm half and half. Half and half.","Social, Living environment","Discrimination, Integration, Belonging",The Netherlands,permanent,45-64,Turkey,Female
"I said to the teacher, I've been coming here for years, I've been attending language courses, summer courses, I said I want to learn in a more capable way. I said I want to do everything myself. By the way, there was an Inburgering (Dutch Integration Course) before, but it exploded across the Netherlands. I went then, I went for a year, I already knew a lot. They said it would be difficult, they said it was difficult, difficult, difficult. They scared us so much. I was always the first to go to there for the exams. I said it wasn't difficult at all.",Social,"Education, Integration, Language barriers",The Netherlands,permanent,45-64,Turkey,Female
"My cousin, for instance, I get on really well with him. We're about the same age group. And I went on holiday with him to Bodrum once we were in Turkey. And he also came to the Netherlands once and then we came here. Yes, I actually let him tour a bit. Showed the Netherlands.","Social, Economic","Integration, Nature, Belonging",The Netherlands,permanent,18-34,The Netherlands,Female
"If you grow up as a generation with few people of a different colour in your class or a different religion, you're not used to that. And the generations that follow have. And then you normalise, you can only normalise. And that is where these, this city for instance, is still very much lagging behind if you compare it to big cities for instance.","Social, Living environment","Discrimination, Integration, Belonging",The Netherlands,permanent,18-34,The Netherlands,Female
"Our neighbour now sees us as people who have always lived there and belong. And now the new newcomers, are the new invaders and people who don't belong and the strangers so to speak.","Social, Living environment","Discrimination, Integration, Belonging",The Netherlands,permanent,18-34,The Netherlands,Female
"What most Turkish people do, and I'm talking about my mother's generation. They come together once in a while, for example such a Gün (day). People come together at home and the host takes care of the food. They collect money and then kind of help each other actually. Every time you go somewhere, you give €100 to that person and when everyone comes to you, you get all that money back, for example. So in that way people still speak to each other often.","Social, Economic","Integration, Belonging",The Netherlands,permanent,18-34,The Netherlands,Female
"RESEARCHER What helped your parents adapt [...] more easily? INTERVIEWEE My father, his work, I guess. He just had a job and there he did have contact with Dutch people, for instance. Well, in that way, it was a way for him to really find his place in society. And for my mother it was mainly the integration course. But then again, my mother is also quite an intelligent woman who likes to learn. That is a prerequisite, because an integration course can also be very stressful, is what I notice now. Because I also work with newcomers, so that's the other side. It doesn't apply to all kinds of people.","Social, Economic","Education, Integration, Work/employment, Belonging",The Netherlands,permanent,18-34,The Netherlands,Female
"Two of my children started school. The school provided children carers. They looked after them in a room at school. We had lessons in another room. I went to those language classes for 3 or 4 years, probably once a week for 3 hours. Then the children learnt from school and by reading the subtitles on the television. We started going to the neighbours, drinking coffee and talking. The children were playing all together on the street. They would go there and eat. They would come to me and eat. And so on and so forth.","Social, Living environment","Education, Integration",The Netherlands,permanent,45-64,Turkey,Female
"I suffered a lot from my in-laws. Not in terms of fights, but financially. I mean, the situation was like that. They were relatives. In terms of their financial situation, they had fields in the village [in Turkey]. But there was no father, no one working. Since my husband was the eldest, all the burden was on him. I had a lot of trouble. He used to support them financially. Half of half a loaf of bread will be divided. Because he has to. He has a mother and three unmarried siblings. Just her pension. They can barely feed themselves from the fields.","Social, Economic",Income,The Netherlands,permanent,45-64,Turkey,Female
